id,comment,score
406,正在看，我后排已经睡着了，不要卖惨，接受现实，我已经看不下去了，外星人？？？？第一次听指挥管说外星人，外星人都要笑了,0.0077
407,同学说9分,0.3919
408,鹿晗问导演用不用剪头导演说不用 造型是他一个艺人能自己决定的吗 全体工作人员片酬只占10% 说了多少次了 一直人身攻击是什么鬼 看过这个电影的人绝不会把锅扣鹿晗身上,0.82
410,0000007,0.5
411,四字互评,0.1671
412,是呀，也要顾及到导演呀，导演人这么好,0.9611
413,真恶心，要脸么,0.1149
414,互评加油,0.6558
415,怕是你都没有看过就开始黑吧，请你去看过影片以后再做评价吧,0.1539
416,看过说烂片我可以理解，你没看过也跟着说烂片我就不能理解了,0.8216
417,7.5分，制作挺精良了，鹿晗其实也及格以上了，讲道理这电影是因为流量小生名头被骂有点亏,0.9964
418,科幻电影的门被焊得死死地,0.9115
419,你是远方星球的引力，所以我潮汐不止,0.9826
420,好期待啊啊啊啊我已经等不及了,0.8684
421,加油，互评,0.6558
423,想问你一句，你这个事跟王一博和刘强东有啥关系,0.6081
425,谁演烂片都要做好挨骂的准备，就算是古天乐曾经有一段时间都被骂烂片王！烂片就是烂片，演员你也有不接的权利啊！你接了就要荣辱与共，你们粉丝为了演员好，就要督促他接好片，提高眼光和演技，不是在这洗白，还很努力，他努不努力和我有什么关系！！！！,0.9998
426,不好好拍戏干嘛一直道歉？？？？？道歉票房就起来了？？？六年策划拍摄在干嘛去了？？？？？一点意思都没有,0.0001
427,绝对没有一分那么差，七八分吧,0.0897
428,不用道歉，赔我票钱,0.0081
429,虽然没有一个很好的结果，但我们都曾经用心的经历了，π2加油,0.9986
430,8月9号影院见！,0.1002
431,姐妹，以后积分贴不要带上海堡垒的tag哦，净化组号召了。,0.3107
432,对 注意下哈 导演对咱鹿那么好,0.7843
433,互评,0.1822
434,烂片就是烂片，粉丝不愿意承认罢了，在微博只有有人说实话就被她们举报营销，,0.129
